ID,site number,site location,cluster name,site acronym,date,month,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
182,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","03/16/00 00:00:00","03/01/00 00:00:00",,443,9,4.7,6,7,43,164,221,
183,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","03/16/00 00:00:00","03/01/00 00:00:00",,497,2,1,1.3,0,11,15,26,
184,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","03/16/00 00:00:00","03/01/00 00:00:00",,501,1.4,0.1,1.3,8,0,11,19,
185,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","03/16/00 00:00:00","03/01/00 00:00:00",,495,2.2,0.3,2,7,14,266,287,
186,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","03/17/00 00:00:00","03/01/00 00:00:00",,1120,0.5,0,0.7,0,0,8,8,
187,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","03/17/00 00:00:00","03/01/00 00:00:00",,1103,2.5,0.8,2,0,0,0,0,
188,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","03/17/00 00:00:00","03/01/00 00:00:00",,1104,5.5,8.199999999999999,0.7,0,0,251,251,
189,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","03/17/00 00:00:00","03/01/00 00:00:00",,1127,2.2,1.5,1.3,0,7,108,115,
190,"R11","CAP Canal at Cross-connect","cap","cap @ x con","03/17/00 00:00:00","03/01/00 00:00:00",,712,3.7,0.4,3.3,0,0,271,271,
191,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","03/17/00 00:00:00","03/01/00 00:00:00",,511,6.2,3.5,4,0,58,403,461,
192,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","03/17/00 00:00:00","03/01/00 00:00:00",,652,4.2,1.3,3.3,7,21,166,194,
193,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","03/15/00 00:00:00","03/01/00 00:00:00",,660,9.199999999999999,1.3,8,0,0,273,273,
194,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","03/15/00 00:00:00","03/01/00 00:00:00",,,,,,,,,,
195,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","03/15/00 00:00:00","03/01/00 00:00:00",,655,1.4,0.1,1.3,0,7,186,193,
196,"R17","Deer Valley WTP treated water","srp","deer valley-treated","03/15/00 00:00:00","03/01/00 00:00:00",,,,,,,,,,
197,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","03/15/00 00:00:00","03/01/00 00:00:00",,709,2,1,1.3,14,14,188,216,
198,"R19","Val Vista WTP treated water","srp","val vista-treated","03/15/00 00:00:00","03/01/00 00:00:00",,,,,,,,,,
199,"field_blank","field blank",,,"03/15/00 00:00:00","03/01/00 00:00:00","field blank",,,,,,,,,
200,"lab_blank","laboratory blank",,,"03/15/00 00:00:00","03/01/00 00:00:00","lab blank",,,,,,,,,
201,"R20","Verde River at Tangle","verde","verde abv horseshoe","03/30/00 00:00:00","03/01/00 00:00:00",,402,0.85,0.27,0.67,0,14,143,157,
202,"R1","CAP canal above Waddell Canal","cap","cap-siphon","04/13/00 00:00:00","04/01/00 00:00:00",,810,0.89,0,1.34,0,11,44,55,
203,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","04/13/00 00:00:00","04/01/00 00:00:00",,857,2.88,0.13,2.67,8,4,44,56,
204,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","04/13/00 00:00:00","04/01/00 00:00:00",,835,2.59,0,2.67,0,0,26,26,
205,"R3","Waddell Canal","cap","waddell canal","04/13/00 00:00:00","04/01/00 00:00:00",,790,0.89,0,1.34,0,11,11,22,
206,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","04/15/00 00:00:00","04/01/00 00:00:00",,818,0.89,0,1.34,4,11,25,40,
207,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","04/15/00 00:00:00","04/01/00 00:00:00","field duplicate",811,1.19,0,1.34,,,,,
208,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","04/13/00 00:00:00","04/01/00 00:00:00",,495,8.57,3.8,6.01,0,32,55,87,
209,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","04/13/00 00:00:00","04/01/00 00:00:00",,503,4.29,0.2,4.01,40,4,0,44,
210,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","04/13/00 00:00:00","04/01/00 00:00:00",,500,2.29,0.33,2,7,11,11,29,
211,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","04/13/00 00:00:00","04/01/00 00:00:00",,506,1.44,0.07000000000000001,1.34,0,4,58,62,
212,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","04/14/00 00:00:00","04/01/00 00:00:00",,1203,2.59,0.8,2,0,0,4,4,
213,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","04/14/00 00:00:00","04/01/00 00:00:00",,1212,1.19,0.73,0.67,0,0,4,4,
214,"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","04/14/00 00:00:00","04/01/00 00:00:00","field duplicate",1205,0.89,0,1.34,,,,,
215,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","04/14/00 00:00:00","04/01/00 00:00:00",,1211,1.14,0,1.34,0,0,23,23,
216,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","04/14/00 00:00:00","04/01/00 00:00:00",,1199,4.32,0.2,4.01,7,0,374,381,
217,"R11","CAP Canal at Cross-connect","cap","cap @ x con","04/14/00 00:00:00","04/01/00 00:00:00",,785,0.63,0,1.34,0,8,30,38,
218,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","04/14/00 00:00:00","04/01/00 00:00:00",,1047,1.74,0.53,1.34,0,7,157,164,
219,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","04/14/00 00:00:00","04/01/00 00:00:00",,931,1.74,0.53,1.34,7,0,236,243,
220,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","04/15/00 00:00:00","04/01/00 00:00:00",,984,5.43,4.34,2.67,0,7,387,394,
221,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","04/15/00 00:00:00","04/01/00 00:00:00",,,,,,,,,,
222,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","04/15/00 00:00:00","04/01/00 00:00:00",,972,5.17,2.74,3.34,0,14,517,531,
223,"R17","Deer Valley WTP treated water","srp","deer valley-treated","04/15/00 00:00:00","04/01/00 00:00:00",,,,,,,,,,
224,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","04/15/00 00:00:00","04/01/00 00:00:00",,930,2.03,0,2,0,4,69,73,
225,"R19","Val Vista WTP treated water","srp","val vista-treated","04/15/00 00:00:00","04/01/00 00:00:00",,,,,,,,,,
226,"field_blank","field blank",,,"04/15/00 00:00:00","04/01/00 00:00:00","field blank",0,,,,,,,,
227,"lab_blank","laboratory blank",,,"04/15/00 00:00:00","04/01/00 00:00:00","lab blank",,,,,,,,,
228,"R20","Verde River at Tangle","verde","verde abv horseshoe","04/30/00 00:00:00","04/01/00 00:00:00",,499,0.3,0,0.67,0,0,26,26,
229,"R1","CAP canal above Waddell Canal","cap","cap-siphon","05/16/00 00:00:00","05/01/00 00:00:00",,737,0.6,0,1.3,11,0,81,92,
230,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","05/16/00 00:00:00","05/01/00 00:00:00",,790,0.9,0,1.3,4,0,18,22,
231,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","05/16/00 00:00:00","05/01/00 00:00:00",,795,0.3,0,0.7,8,0,27,35,
232,"R3","Waddell Canal","cap","waddell canal","05/16/00 00:00:00","05/01/00 00:00:00",,728,0,0,0,0,0,75,75,
233,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","05/17/00 00:00:00","05/01/00 00:00:00",,748,0.3,0,0.7,0,0,87,87,
234,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","05/17/00 00:00:00","05/01/00 00:00:00","field duplicate",749,0.3,0,0.7,,,,,
235,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","05/16/00 00:00:00","05/01/00 00:00:00",,592,12.9,2.9,10.7,0,18,41,59,
236,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","05/16/00 00:00:00","05/01/00 00:00:00",,475,3.1,0.6,2.7,0,0,7,7,
237,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","05/16/00 00:00:00","05/01/00 00:00:00",,500,3.1,0.6,2.7,0,14,8,22,
238,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","05/16/00 00:00:00","05/01/00 00:00:00",,502,1.1,0,1.3,0,0,171,171,
239,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","05/15/00 00:00:00","05/01/00 00:00:00",,1298,1.4,0.1,1.3,0,0,18,18,
240,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","05/15/00 00:00:00","05/01/00 00:00:00",,1253,4.3,1.3,3.3,0,4,26,34,
241,"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","05/15/00 00:00:00","05/01/00 00:00:00","field duplicate",1252,4,0.9,3.3,,,,,
242,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","05/15/00 00:00:00","05/01/00 00:00:00",,1253,2.5,0.8,2,0,0,91,91,
243,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","05/15/00 00:00:00","05/01/00 00:00:00",,1262,2,0,2,0,0,231,238,
244,"R11","CAP Canal at Cross-connect","cap","cap @ x con","05/15/00 00:00:00","05/01/00 00:00:00",,798,1.2,0,1.3,0,14,136,150,
245,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","05/15/00 00:00:00","05/01/00 00:00:00",,1190,2,1,1.3,0,7,281,288,
246,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","05/15/00 00:00:00","05/01/00 00:00:00",,1000,1.7,0.5,1.3,0,0,227,227,
247,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","05/17/00 00:00:00","05/01/00 00:00:00",,923,3.8,0.4,3.3,0,0,460,460,
248,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","05/17/00 00:00:00","05/01/00 00:00:00",,,,,,,,,,
249,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","05/17/00 00:00:00","05/01/00 00:00:00",,951,4.9,0,6,0,0,330,330,
250,"R17","Deer Valley WTP treated water","srp","deer valley-treated","05/17/00 00:00:00","05/01/00 00:00:00",,,,,,,,,,
251,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","05/17/00 00:00:00","05/01/00 00:00:00",,1000,1.4,0,2,0,0,237,237,
252,"R19","Val Vista WTP treated water","srp","val vista-treated","05/17/00 00:00:00","05/01/00 00:00:00",,,,,,,,,,
253,"R20","Verde River at Tangle","verde","verde abv horseshoe","05/30/00 00:00:00","05/01/00 00:00:00",,,,,,,,,,
254,"field_blank","field blank",,,"05/17/00 00:00:00","05/01/00 00:00:00","field blank",0,,,,,,,,
255,"lab_blank","laboratory blank",,,"05/17/00 00:00:00","05/01/00 00:00:00","lab blank",,,,,,,,,
256,"R1","CAP canal above Waddell Canal","cap","cap-siphon","06/14/00 00:00:00","06/01/00 00:00:00",,799,2.03525,0,2.0025,93,86,78,257,
257,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","06/14/00 00:00:00","06/01/00 00:00:00",,900,0.33675,0,0.6675,0,18,18,44,
258,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","06/14/00 00:00:00","06/01/00 00:00:00",,897,0.0425,0,0.6675,0,36,0,40,
259,"R3","Waddell Canal","cap","waddell canal","06/14/00 00:00:00","06/01/00 00:00:00",,841,0.081,0,0.6675,0,7,44,51,
260,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","06/15/00 00:00:00","06/01/00 00:00:00",,897,0.633,0,1.335,7,14,129,164,
261,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","06/15/00 00:00:00","06/01/00 00:00:00","field duplicate",899,,,,,,,,
262,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","06/14/00 00:00:00","06/01/00 00:00:00",,605,9.49675,0.6675,8.6775,0,439,166,619,
263,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","06/14/00 00:00:00","06/01/00 00:00:00",,485,4.32225,0.20025,4.005,21,14,201,243,
426,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","12/12/00 00:00:00","12/01/00 00:00:00",,498,2.8855,1.26825,2.0025,14,0,1656,1678,
427,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","12/12/00 00:00:00","12/01/00 00:00:00",,453,3.14525,0.60075,2.67,0,0,245,245,
428,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","12/12/00 00:00:00","12/01/00 00:00:00",,491,3.399,1.068,2.67,0,0,302,302,
429,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","12/13/00 00:00:00","12/01/00 00:00:00",,1345,0.29625,0,0.6675,7,7,446,475,
430,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","12/13/00 00:00:00","12/01/00 00:00:00",,1315,1.6965,0.534,1.335,7,0,871,878,
431,"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","12/13/00 00:00:00","12/01/00 00:00:00","field duplicate",1310,1.735,0.534,1.335,,,,,
432,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","12/13/00 00:00:00","12/01/00 00:00:00",,1301,1.99675,0,2.0025,0,0,1267,1267,
433,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","12/13/00 00:00:00","12/01/00 00:00:00",,1300,2.847,1.26825,2.0025,0,0,65,65,
434,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/13/00 00:00:00","12/01/00 00:00:00",,700,6.0475,1.2015,5.34,0,14,533,547,
435,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/13/00 00:00:00","12/01/00 00:00:00",,499,2.58725,0.801,2.0025,0,0,446,446,
436,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/13/00 00:00:00","12/01/00 00:00:00",,503,3.69125,1.53525,2.67,0,14,353,367,
437,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","12/14/00 00:00:00","12/01/00 00:00:00",,545,4.32025,2.46975,2.67,0,22,238,259,
438,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","12/14/00 00:00:00","12/01/00 00:00:00",,,,,,,,,,
439,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","12/14/00 00:00:00","12/01/00 00:00:00",,570,12.555,8.076750000000001,7.3425,0,0,2938,2938,
440,"R17","Deer Valley WTP treated water","srp","deer valley-treated","12/14/00 00:00:00","12/01/00 00:00:00",,,,,,,,,,
441,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","12/14/00 00:00:00","12/01/00 00:00:00",,,,,,,,,,"south canal shut down"
442,"R19","Val Vista WTP treated water","srp","val vista-treated","12/14/00 00:00:00","12/01/00 00:00:00",,,,,,,,,,
443,"field_blank","field blank",,,"12/14/00 00:00:00","12/01/00 00:00:00","field blank",0,0,0,0,,,,,
444,"lab_blank","laboratory blank",,,"12/14/00 00:00:00","12/01/00 00:00:00","lab blank",,,,,,,,,
445,"R20","Verde River at Tangle","verde","verde abv horseshoe","12/30/00 00:00:00","12/01/00 00:00:00",,500,0,0,0,,,,,
446,"R1","CAP canal above Waddell Canal","cap","cap-siphon","01/16/01 00:00:00","01/01/01 00:00:00",,702,2.63175,0.801,2.0025,7,0,144,317,
447,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","01/16/01 00:00:00","01/01/01 00:00:00",,705,3.73775,1.53525,2.67,7,14,432,972,
448,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","01/16/01 00:00:00","01/01/01 00:00:00",,702,4.5455,1.80225,3.3375,7,79,389,475,
449,"R3","Waddell Canal","cap","waddell canal","01/16/01 00:00:00","01/01/01 00:00:00",,695,4.83975,3.40425,2.67,0,14,281,526,
450,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","01/18/01 00:00:00","01/01/01 00:00:00",,721,2.847,1.26825,2.0025,0,0,101,281,
451,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","01/18/01 00:00:00","01/01/01 00:00:00","field duplicate",717,3.65475,1.53525,2.67,,,,,
452,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","01/16/01 00:00:00","01/01/01 00:00:00",,448,4.87825,2.2695,3.3375,7,0,439,446,
453,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","01/16/01 00:00:00","01/01/01 00:00:00",,448,4.28575,2.46975,2.67,43,65,324,482,
454,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","01/16/01 00:00:00","01/01/01 00:00:00",,650,4.32425,2.46975,2.67,36,86,259,396,
455,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","01/16/01 00:00:00","01/01/01 00:00:00",,427,3.21625,1.7355,2.0025,14,0,317,331,
456,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","01/17/01 00:00:00","01/01/01 00:00:00",,1285,0.633,0,1.335,0,0,526,526,
457,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","01/17/01 00:00:00","01/01/01 00:00:00",,1306,7.423,4.20525,4.6725,7,0,475,482,
458,"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","01/17/01 00:00:00","01/01/01 00:00:00","field duplicate",1305,6.57675,3.93825,4.005,,,,,
459,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","01/17/01 00:00:00","01/01/01 00:00:00",,1330,5.7265,3.67125,3.3375,7,0,526,533,
460,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","01/17/01 00:00:00","01/01/01 00:00:00",,1290,0.5925,0,0.6675,7,0,108,115,
461,"R11","CAP Canal at Cross-connect","cap","cap @ x con","01/17/01 00:00:00","01/01/01 00:00:00",,702,5.6515,2.5365,4.005,94,7,101,202,
462,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","01/17/01 00:00:00","01/01/01 00:00:00",,501,2.372,0.33375,2.0025,0,0,626,626,"taken on south canal"
463,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","01/17/01 00:00:00","01/01/01 00:00:00",,,,,,,0,,,
464,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","01/18/01 00:00:00","01/01/01 00:00:00",,,,,,,0,,,"az canal shut down"
465,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","01/18/01 00:00:00","01/01/01 00:00:00",,,,,,,,,,
466,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","01/18/01 00:00:00","01/01/01 00:00:00",,,,,,,0,,,"az canal shut down"
467,"R17","Deer Valley WTP treated water","srp","deer valley-treated","01/18/01 00:00:00","01/01/01 00:00:00",,,,,,,,,,
468,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","01/18/01 00:00:00","01/01/01 00:00:00",,585,2.3,0.33375,2.0025,0,36,216,252,
469,"R19","Val Vista WTP treated water","srp","val vista-treated","01/18/01 00:00:00","01/01/01 00:00:00",,,,,,,,,,
470,"field_blank","field blank",,,"01/18/01 00:00:00","01/01/01 00:00:00","field blank",0,0,0,0,,,,,
471,"lab_blank","laboratory blank",,,"01/18/01 00:00:00","01/01/01 00:00:00","lab blank",,,,,,,,,
472,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/30/01 00:00:00","01/01/01 00:00:00",,,,,,0,0,14,14,
264,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","06/14/00 00:00:00","06/01/00 00:00:00",,502,7.01325,9.41175,1.335,7,29,57,93,
265,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","06/14/00 00:00:00","06/01/00 00:00:00",,515,1.185,0,2.0025,0,14,201,215,
266,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","06/13/00 00:00:00","06/01/00 00:00:00",,1255,0.5945,0,0.6675,0,4,14,18,
267,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","06/13/00 00:00:00","06/01/00 00:00:00",,1190,4.58,0,4.6725,0,7,101,108,
268,"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","06/13/00 00:00:00","06/01/00 00:00:00","field duplicate",1170,4.28375,1.335,3.3375,,,,,
269,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","06/13/00 00:00:00","06/01/00 00:00:00",,1154,2.8835,0.1335,2.67,7,21,201,229,
270,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","06/13/00 00:00:00","06/01/00 00:00:00",,1162,2.03525,0,2.67,0,58,259,317,
271,"R11","CAP Canal at Cross-connect","cap","cap @ x con","06/13/00 00:00:00","06/01/00 00:00:00",,760,1.48125,0.06675,1.335,0,18,62,80,
272,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","06/13/00 00:00:00","06/01/00 00:00:00",,1145,2.03525,0,2.0025,0,7,300,307,
273,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","06/13/00 00:00:00","06/01/00 00:00:00",,1009,2.3295,0.33375,2.0025,0,0,330,330,
274,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","06/15/00 00:00:00","06/01/00 00:00:00",,1252,6.61525,0.534,6.0075,7,21,735,763,
275,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","06/15/00 00:00:00","06/01/00 00:00:00",,,,,,,,,,
276,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","06/15/00 00:00:00","06/01/00 00:00:00",,1290,3.4355,0,3.3375,0,14,432,446,
277,"R17","Deer Valley WTP treated water","srp","deer valley-treated","06/15/00 00:00:00","06/01/00 00:00:00",,,,,,,,,,
278,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","06/15/00 00:00:00","06/01/00 00:00:00",,1182,5.1725,0.46725,4.6725,0,0,440,440,
279,"R19","Val Vista WTP treated water","srp","val vista-treated","06/15/00 00:00:00","06/01/00 00:00:00",,,,,,,,,,
280,"R20","Verde River at Tangle","verde","verde abv horseshoe","06/30/00 00:00:00","06/01/00 00:00:00",,749,1.7,0,2,0,14,78,92,
281,"field_blank","field blank average",,,"06/15/00 00:00:00","06/01/00 00:00:00","field blank",0,0,0,0,,,,,
282,"lab_blank","laboratory blank",,,"06/15/00 00:00:00","06/01/00 00:00:00","lab blank",,,,,,,,,
283,"R1","CAP canal above Waddell Canal","cap","cap-siphon","07/18/00 00:00:00","07/01/00 00:00:00",,830,2.07375,1.00125,1.335,36,26,22,167,
284,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","07/18/00 00:00:00","07/01/00 00:00:00",,898,2.03525,1.00125,1.335,7,50,273,337,
285,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","07/18/00 00:00:00","07/01/00 00:00:00",,912,0.88875,0.267,0.6675,4,0,44,48,
286,"R3","Waddell Canal","cap","waddell canal","07/18/00 00:00:00","07/01/00 00:00:00",,846,0.85025,0.267,0.6675,0,4,18,22,
287,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","07/19/00 00:00:00","07/01/00 00:00:00",,875,0.554,0,0.6675,11,15,152,178,
288,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","07/19/00 00:00:00","07/01/00 00:00:00","field duplicate",860,0.554,0,0.6675,,,,,
289,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","07/18/00 00:00:00","07/01/00 00:00:00",,670,9.715999999999999,1.13475,8.6775,0,29,355,391,
290,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","07/18/00 00:00:00","07/01/00 00:00:00",,503,2.58725,0.801,2.0025,14,144,129,323,
291,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","07/18/00 00:00:00","07/01/00 00:00:00",,500,1.40225,0.06675,1.335,0,14,28,42,
292,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","07/18/00 00:00:00","07/01/00 00:00:00",,502,2.766,1.26825,2.0025,7,21,301,329,
